id,is_high_priority
25-2512303,0
25-2513780,0
25-2515293,0
25-2514349,0
25-2514337,0
25-2512992,0
25-2514081,1
25-2513668,1
25-2511510,0
25-2509902,0
25-2514553,0
25-2511118,1
25-2514074,0
25-2510991,0
25-2514825,0
25-2511622,0
25-2514695,1
25-2511429,0
25-2513557,1
25-2513716,1
25-2512351,0
25-2513705,1
25-2513221,0
25-2513733,0
25-2513729,0
25-2513737,0
25-2514175,0
25-2515375,0
25-2514755,0
25-2516197,0
25-2513713,0
25-2515665,0
25-2511599,0
25-2511902,0
25-2516122,1
25-2515282,1
25-2511399,0
25-2510150,0
25-2513627,0
25-2514921,0
25-2513709,1
25-2513707,0
25-2513723,0
25-2510712,1
25-2510105,0
25-2513481,0
25-2514820,0
25-2514429,0
25-2511192,0
25-2514059,0
25-2515123,0
25-2516366,0
25-2516516,0
25-2513735,0
25-2511692,0
25-2510135,0
25-2513859,0
25-2513955,0
25-2514837,1
25-2511572,0
25-2512916,0
25-2516264,0
25-2509966,0
25-2516657,0
25-2510025,0
25-2510163,0
25-2515428,0
25-2513981,0
25-2514671,0
25-2510337,0
25-2515484,0
25-2513623,0
25-2512785,0
25-2513158,0
25-2511034,0
25-2511154,0
25-2511332,0
25-2510641,0
25-2516522,0
25-2512954,0
25-2513967,0
25-2512072,0
25-2513776,0
25-2513613,0
25-2516159,0
25-2511593,0
25-2515152,0
25-2514915,0
25-2515808,0
25-2516298,0
25-2514817,0
25-2510748,0
25-2515602,0
25-2512051,0
25-2516494,0
25-2516380,0
25-2513666,0
25-2515068,0
25-2516433,0
25-2513531,0
25-2515417,0
25-2516425,0
25-2510952,0
25-2513102,0
25-2509896,0
25-2512648,0
25-2515955,0
25-2513602,0
25-2516474,0
25-2512104,1
25-2512485,0
25-2515910,0
25-2516152,0
25-2516532,0
25-2514639,0
25-2513354,0
25-2513549,0
25-2516526,0
25-2515228,0
25-2514673,0
25-2514373,0
25-2514631,0
25-2516289,0
25-2511202,0
25-2516497,0
25-2514916,0
25-2516483,0
